	insect_51_WholeSpecimen	insect_52_WholeSpecimen	insect_53_WholeSpecimen	insect_54_WholeSpecimen	insect_55_WholeSpecimen	insect_56_WholeSpecimen	insect_57_WholeSpecimen	insect_58_WholeSpecimen	insect_59_WholeSpecimen	insect_60_WholeSpecimen	insect_61_WholeSpecimen	insect_62_WholeSpecimen	insect_63_WholeSpecimen	insect_64_WholeSpecimen	insect_65_WholeSpecimen	insect_66_WholeSpecimen	insect_67_WholeSpecimen	insect_68_WholeSpecimen	insect_69_WholeSpecimen	insect_70_WholeSpecimen
34522f6fba9f9511c46625d05745f398	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7c1f8891868cee4ca43d6899845a8174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	42	19	0	0
5ce5b877283f5eb68e82d6acf2e0e3b4	0	0	112	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
d66caf47fac43ddb2065f57eec5d68c7	0	0	0	0	0	0	0	0	6	0	0	0	0	0	14	0	239	49	2	0
9307fc3078987a379002164d7227898c	0	0	0	0	0	775	0	0	0	0	0	343	103	0	0	0	0	0	0	0
af39cffc045e50cd3fb97cd7cabe423c	0	0	7	0	0	242	0	0	0	0	0	305	73	0	36	0	0	0	0	0
f84e1703bbbc3a7c5c52e833a32bdec8	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
263ee794791b2bf9061272c114192967	0	0	9	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
94b3673b6856c62a3b1a0579aa73d669	0	0	0	0	0	0	0	0	0	0	3	0	0	0	12	0	0	0	0	0
849e127c50703dfeafe4167a3909c3b8	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6191d9bbba985f5ffe9d99b1bfdf052f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
686cbbcfb98db837ad4a58d522bf379b	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
7efc0824082c46de00308b234091ee1c	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
5f676e17b06e4d9f5695c87259abfdeb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0
d8e7f9181e4d5a4a6453e9ca9996a43f	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
bf56d39c5ae7c4117d1e10b2bbe85d8c	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	9	0
9d5054752ed33d6a22bd0f96b5618b1c	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0
333bbf9224442fc10cd497377d2b1d01	0	0	0	0	142	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
2c982937754e6321f861027032db80f7	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5c44b50c2d69a7805f2777868e011deb	0	0	4	18	0	0	0	0	8	0	0	0	0	0	0	0	0	0	20	0
0246fa62b3f359ffe105c2390484bcad	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
645fecf8a62f2e98b48f1353b6fb118c	0	0	0	0	0	0	0	0	19	0	0	0	0	0	166	0	0	0	0	0
762564b661e50592bfa772adf7ff740b	0	0	6	57	0	0	0	0	219	35	6	0	0	0	208	0	0	55	12	0
071ee2e17a7a2e71d1401a2a443147f1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	5	0
e601d5aa57f21cbae95b7d4ddd1bd8d6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
28ccc4ff38640a986450539e09cfc99a	0	0	23	7	0	0	0	0	26	0	41	0	0	0	40	0	0	0	0	0
e30f2f2848251e94ffc1dc5b45927c0f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
4fc9e3fe54939ad289d45436d32a1187	0	11	0	0	0	0	982	0	0	142	0	0	0	0	0	0	0	0	0	0
bf30837c9ffa331c74cd7f9dcb232d82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167
225475dcffe2c28e4f3cb6105080afb4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0
48dafa9df9a8a1243e5257b7a2cffde1	0	6	0	0	0	0	0	0	0	0	0	757	0	0	0	0	0	0	0	0
b228d0a32d7a6731c38e29f34bca0739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
622da4e8b3fc340bb1b5b54d8b6ddfaf	0	0	0	0	0	0	0	16	16594	0	0	0	0	0	0	10	0	0	0	0
a60bedcb03115e38601d1cb581469d07	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0
19d90cb7ea515676f735b4781f63e3c7	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	55	0
6dfb118aa8b73ede1bdb71dedc23838c	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	63	0
