"pathway","insect_51_WholeSpecimen","insect_52_WholeSpecimen","insect_53_WholeSpecimen","insect_54_WholeSpecimen","insect_55_WholeSpecimen","insect_56_WholeSpecimen","insect_57_WholeSpecimen","insect_58_WholeSpecimen","insect_59_WholeSpecimen","insect_60_WholeSpecimen","insect_61_WholeSpecimen","insect_62_WholeSpecimen","insect_63_WholeSpecimen","insect_64_WholeSpecimen","insect_65_WholeSpecimen","insect_66_WholeSpecimen","insect_67_WholeSpecimen","insect_68_WholeSpecimen","insect_69_WholeSpecimen","insect_70_WholeSpecimen","mean_abundance","max_abundance","median_abundance","prevalence","prevalence_pct","description","description_lower","category"
"PWY-5667",29354.1861988132,9754.34678268787,14295.9897310645,24870.498471157,34351.6004503151,29725.1490510337,13310.1154674555,36479.952658537,32713.0300509537,15228.1002746881,19166.4299116939,29085.2774018086,23122.838977619,6689.64865820631,29069.8762965388,22602.3705429652,43906.2932950113,37691.4013241933,31736.5915660054,21393.6885866001,25227.3692848674,43906.2932950113,27148.6227907031,23,115,"CDP-diacylglycerol biosynthesis I","cdp-diacylglycerol biosynthesis i","Biosynthesis"
"PWY0-1319",29354.1861988132,9754.34678268787,14295.9897310645,24870.498471157,34351.6004503151,29725.1490510337,13310.1154674555,36479.952658537,32713.0300509537,15228.1002746881,19166.4299116939,29085.2774018087,23122.838977619,6689.64865820631,29069.8762965388,22602.3705429652,43906.2932950113,37691.4013241933,31736.5915660054,21393.6885866001,25227.3692848674,43906.2932950113,27148.6227907031,23,115,"CDP-diacylglycerol biosynthesis II","cdp-diacylglycerol biosynthesis ii","Biosynthesis"
"PWY-5973",18974.3152950943,9607.25581684347,12088.7987636844,18068.5838402099,25682.0113194588,29460.6467357363,15286.6277012414,36293.1534661628,40510.9485293002,11744.8848665382,17560.2936132127,30413.5735706402,22394.7509507559,4597.2596325383,24518.2408664449,24810.3718992342,57491.215952371,37108.3518072187,31303.3153634256,21308.0861190902,24461.1343054601,57491.215952371,24489.6875859525,23,115,"cis-vaccenate biosynthesis","cis-vaccenate biosynthesis","Biosynthesis"
"PHOSLIPSYN-PWY",24319.0926505342,8926.22253944782,12992.9744323937,22210.5208869329,31584.7300828126,29852.709354335,13728.6197936043,39474.9651290537,28840.9346297108,13153.0328824488,18642.2506826508,27146.4309834199,22239.1191464017,5623.4156935715,26621.3418875433,23000.2231852879,43715.9464407802,40394.0697794707,30239.3880294082,19944.4027296234,24132.5195469716,43715.9464407802,24225.8060987529,23,115,"superpathway of phospholipid biosynthesis I (bacteria)","superpathway of phospholipid biosynthesis i (bacteria)","Biosynthesis"
"PWY4FS-7",21731.5963051669,8316.97852185188,12066.3746553324,20233.8718582737,30170.541699195,28146.5683487851,12907.1269044207,37878.7952393494,24635.1225637409,12019.9306015857,17563.2737800001,26249.1727201078,21723.6474022992,5048.47088647102,24848.9821906068,21826.024872097,44810.196982372,38635.7410367553,28902.4187763246,19104.9454794558,22840.9890412096,44810.196982372,22333.5069566533,23,115,"phosphatidylglycerol biosynthesis I (plastidic)","phosphatidylglycerol biosynthesis i (plastidic)","Biosynthesis"
"PWY4FS-8",21731.5963051669,8316.97852185188,12066.3746553324,20233.8718582737,30170.541699195,28146.5683487851,12907.1269044207,37878.7952393494,24635.1225637409,12019.9306015857,17563.2737800001,26249.1727201078,21723.6474022992,5048.47088647102,24848.9821906068,21826.024872097,44810.196982372,38635.7410367553,28902.4187763246,19104.9454794558,22840.9890412096,44810.196982372,22333.5069566533,23,115,"phosphatidylglycerol biosynthesis II (non-plastidic)","phosphatidylglycerol biosynthesis ii (non-plastidic)","Biosynthesis"
"PWY-7953",15559.1516375191,6672.11111512197,9839.49827213443,16400.2769855666,30599.4724406952,25909.3896176784,10663.4473795123,33639.3580844084,35665.5881811401,9419.76725234209,15765.3391865733,26324.5398702719,22006.9637798037,3690.28060824359,21781.5284026925,18826.6167534209,45451.1175734027,40386.9923996674,26520.8011559972,18556.5847393928,21683.9412717792,45451.1175734027,21732.7348372359,23,115,"UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)","udp-n-acetylmuramoyl-pentapeptide biosynthesis iii (meso-diaminopimelate containing)","Biosynthesis"
"PWY-6387",15357.0389628773,6561.75010958612,9707.34475160671,16056.9603802435,29972.4763503055,25326.5483153768,10566.5673630561,33319.3890028759,36671.9822632701,9271.32623079249,15459.0538313441,25772.21955106,21554.3101425216,3642.42995377984,21306.9617326128,18637.3700444403,45078.0088622415,39154.937652987,26128.0039559336,18157.7800928527,21385.1229774882,45078.0088622415,21346.0423550505,23,115,"UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)","udp-n-acetylmuramoyl-pentapeptide biosynthesis i (meso-diaminopimelate containing)","Biosynthesis"
"PWY-6385",16362.6692209524,6990.82122180226,10306.6795555085,16814.7721422897,30568.1296725943,26577.8609255629,11216.0465571424,14172.6413561824,37735.0610651992,9834.22587447691,16174.7747277834,27149.2600216747,22453.743435214,3884.38120796718,22411.2102027563,19708.7716962902,47841.0702775578,38564.2289006056,27558.4436733573,19231.1367827613,21277.7964258839,47841.0702775578,20493.2840610871,23,115,"peptidoglycan biosynthesis III (mycobacteria)","peptidoglycan biosynthesis iii (mycobacteria)","Biosynthesis"
"PWY-7220",19543.8061103536,6659.95142992106,10768.5368985057,17640.2295429299,28502.6025887787,24138.6557370298,12022.2719480707,37634.1134806131,31850.2806578351,9667.91702421783,15326.7235820382,23046.19772043,20281.6546867029,4251.75826076223,21234.5333898539,19751.9356421143,43567.2898211307,34927.8035527536,22883.8312310642,19232.010315843,21146.6051810474,43567.2898211307,20714.1299338752,23,115,"adenosine deoxyribonucleotides de novo biosynthesis II","adenosine deoxyribonucleotides de novo biosynthesis ii","Biosynthesis"
"PWY-7222",19543.8061103536,6659.95142992106,10768.5368985057,17640.2295429299,28502.6025887787,24138.6557370298,12022.2719480707,37634.1134806131,31850.2806578351,9667.91702421783,15326.7235820382,23046.19772043,20281.6546867029,4251.75826076223,21234.5333898539,19751.9356421143,43567.2898211307,34927.8035527536,22883.8312310642,19232.010315843,21146.6051810474,43567.2898211307,20714.1299338752,23,115,"guanosine deoxyribonucleotides de novo biosynthesis II","guanosine deoxyribonucleotides de novo biosynthesis ii","Biosynthesis"
"PWY-7791",16901.4688550216,6708.25426309413,7669.36362943736,16091.8876758156,31847.088702566,26114.031732255,11630.1053997387,34172.7387709166,34675.6133164878,9801.48482485506,14517.236980247,25683.6597643601,21799.8338122899,3936.77081234922,21133.218363679,17381.1283987547,42303.4481401436,34088.0503923111,26892.0328915054,17792.3222671832,21056.9869496506,42303.4481401436,21095.1026566648,23,115,"UMP biosynthesis III","ump biosynthesis iii","Biosynthesis"
"PWY-6121",15617.552499696,7189.74367575086,9804.04413397533,15264.0416002217,25236.3466783937,25935.7980584298,10879.5440068206,34587.379903138,33340.8883684001,9554.58287311093,14944.8470258437,26289.1526902141,18876.3629820542,3749.82270389687,21651.7965868447,19109.0484600193,47222.6587245717,32849.3055773075,28050.0914993578,18722.3563163007,20943.7682182174,47222.6587245717,20026.4083391183,23,115,"5-aminoimidazole ribonucleotide biosynthesis I","5-aminoimidazole ribonucleotide biosynthesis i","Biosynthesis"
"PEPTIDOGLYCANSYN-PWY",15086.1825560982,6469.6052385493,9572.0561781741,15608.2573231938,29285.8303608244,24639.4506848573,10785.5787901305,32881.5239465267,34904.4572787786,9123.37146731076,15054.0432995404,25236.4533198322,21094.1742529227,3595.68842918141,20730.781228952,18640.9827397203,44790.786689829,37560.7886363805,25625.872372892,17644.3679456437,20916.5126369669,44790.786689829,20823.6469329594,23,115,"peptidoglycan biosynthesis I (meso-diaminopimelate containing)","peptidoglycan biosynthesis i (meso-diaminopimelate containing)","Biosynthesis"
"PWY-6122",14158.4243467653,6925.89018158334,9686.08775981879,14130.744122181,26678.8740782993,26104.8320497853,10279.6492459079,35550.930585976,34140.6833342174,8850.66053028471,14190.5170931339,26726.3133186984,20198.1863535297,3410.92570807838,20595.8739536768,18270.1107210075,44964.8791454828,32835.8670163691,27536.9180119307,18670.6445441817,20695.3506050454,44964.8791454828,20397.0301536033,23,115,"5-aminoimidazole ribonucleotide biosynthesis II","5-aminoimidazole ribonucleotide biosynthesis ii","Biosynthesis"
"PWY-6277",14158.4243467653,6925.89018158334,9686.08775981879,14130.744122181,26678.8740782993,26104.8320497853,10279.6492459079,35550.930585976,34140.6833342174,8850.66053028471,14190.5170931339,26726.3133186984,20198.1863535297,3410.92570807838,20595.8739536768,18270.1107210075,44964.8791454828,32835.8670163691,27536.9180119307,18670.6445441817,20695.3506050454,44964.8791454828,20397.0301536033,23,115,"superpathway of 5-aminoimidazole ribonucleotide biosynthesis","superpathway of 5-aminoimidazole ribonucleotide biosynthesis","Biosynthesis"
"PWY-5686",16901.4688550216,6708.25426309413,8284.76426614451,16091.8876758156,31847.088702566,26114.031732255,11630.1053997387,34172.7387709166,34675.6133164878,9801.48482485506,14517.236980247,25683.6597643601,21799.8338122899,3936.77081234922,21133.218363679,18165.7321550312,43517.454913384,20570.0806131258,26892.0328915054,17792.3222671832,20511.7890190025,43517.454913384,20540.9348160641,23,115,"UMP biosynthesis I","ump biosynthesis i","Biosynthesis"
"PWY-7790",16901.4688550216,6708.25426309413,7669.36362943736,16091.8876758156,31847.088702566,27776.1277568714,11630.1053997387,34172.7387709166,34675.6133164878,9801.48482485506,14517.236980247,25683.6597643601,21799.8338122899,3936.77081234922,21133.218363679,17381.1283987547,42303.4481401436,20570.0806131258,26892.0328915054,17792.3222671832,20464.1932619221,42303.4481401436,20517.1369375239,23,115,"UMP biosynthesis II","ump biosynthesis ii","Biosynthesis"
"PWY-2942",19239.4522595334,7266.6093736048,8214.13168324357,18112.1051190225,29522.6817244089,26034.1681573108,11478.2101546819,4344.84136025858,34929.2284327097,10832.5705214401,16484.124727127,24378.9309890017,19171.0442593965,4502.76996292921,21998.538148791,19701.2538426668,41971.0373317653,34437.1687674337,28782.9212247283,17584.1474132738,19949.2967726664,41971.0373317653,19470.3530511001,23,115,"L-lysine biosynthesis III","l-lysine biosynthesis iii","Biosynthesis"
"PWY-7221",14182.0650917255,6075.535273987,9212.16294777618,14044.3755066324,30895.7684225903,22087.5588385184,10021.2386062853,31246.597056754,29513.9847234512,8396.28506501841,13784.1686571191,23736.7346040561,21338.1327276505,3415.90112667593,19088.5350403094,17535.3671518901,46747.2707926462,32425.4422441248,26710.3125787376,15847.861640264,19815.2649048106,46747.2707926462,19451.89997256,23,115,"guanosine ribonucleotides de novo biosynthesis","guanosine ribonucleotides de novo biosynthesis","Biosynthesis"
"COMPLETE-ARO-PWY",18308.3171382597,7523.08381735253,10669.8908050606,17239.227161884,21474.8137373153,25345.7329961528,12611.5455116992,1974.83927813896,27596.6853987107,10806.8503243954,16374.9380764532,25259.4492893465,14267.7693484268,4341.62609780802,21854.3399160593,21342.4235957845,45976.4705541305,33033.4083039348,25564.5405920804,18113.8924121987,18983.9922177596,45976.4705541305,18646.1546780097,23,115,"superpathway of aromatic amino acid biosynthesis","superpathway of aromatic amino acid biosynthesis","Biosynthesis"
"THRESYN-PWY",19754.9901927506,7809.01483719377,10873.6643904438,18412.4249944849,25374.6526258212,24630.8130367639,9504.76494390218,3065.67764097298,34351.8754660744,10598.5110561654,16976.3466308344,23700.988892431,15054.4990888444,4596.68594948469,22894.7855826753,16354.5678736249,35180.4690610196,34538.9893494745,25335.9740788743,18177.2410942574,18859.3468393047,35180.4690610196,18635.8859168948,23,115,"superpathway of L-threonine biosynthesis","superpathway of l-threonine biosynthesis","Biosynthesis"
"PWY-6386",14904.3523115721,6230.36070173616,9411.95520491762,15311.9642903627,28654.3489146395,24110.5557560493,9304.69375036296,6097.46875196355,36590.6859054061,8852.9160570771,14273.5845440402,24533.0801844903,20302.4374764734,3525.69809125393,20405.1210673569,15715.2083640332,39607.2340727553,36434.2374070846,25168.5504178069,17295.9177219284,18836.5185495655,39607.2340727553,18066.2181357469,23,115,"UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)","udp-n-acetylmuramoyl-pentapeptide biosynthesis ii (lysine-containing)","Biosynthesis"
"PWY-6123",16749.9051549461,6802.53296101057,10064.6191671585,15657.5264144994,23329.9324207061,23197.931895793,11012.0543542602,31411.0591440371,27544.1927094696,9585.03841278347,14648.9238379591,24176.879678236,17316.9777625765,3927.77834319571,20001.5125241333,18822.6423794232,42220.1497350761,13093.6054388301,23817.9143857415,18029.6302698218,18570.5403494829,42220.1497350761,18300.0853096524,23,115,"inosine-5'-phosphate biosynthesis I","inosine-5'-phosphate biosynthesis i","Biosynthesis"
"PWY-6124",17417.833102295,6710.19142120131,10329.3209096403,16038.0329339963,24359.1246003634,23442.2832930781,11256.1737326954,31453.93518587,27246.1330430021,9878.93550693061,14875.4782784946,23487.6127346722,16995.4398784654,4071.26392325841,20346.1280457597,19138.994024197,42169.9444599593,11703.5434153587,23495.4928893035,16851.2400495024,18563.3550714022,42169.9444599593,17990.5940868486,23,115,"inosine-5'-phosphate biosynthesis II","inosine-5'-phosphate biosynthesis ii","Biosynthesis"
"COA-PWY",14310.1678863992,6248.12855384268,9105.69542559732,14975.976456542,25035.1092963467,24335.8256057923,9977.44242759203,3273.47666609727,30741.9571211942,8657.24373830139,14575.2710076464,24495.582217453,20039.3852578779,3372.47814912412,20016.2457188541,17686.0172595352,43848.5561515511,36399.2267424635,24977.7069650745,17702.404523099,18488.6948585192,43848.5561515511,18095.5496908091,23,115,"coenzyme A biosynthesis I (prokaryotic)","coenzyme a biosynthesis i (prokaryotic)","Biosynthesis"
"POLYISOPRENSYN-PWY",15743.9291139764,6630.8499935039,10660.0977003622,15831.4381493555,22666.3168513883,25821.2115136478,10167.4323403273,8803.83746695989,29006.5324538245,8744.33096530712,13899.2713504527,23471.5269933154,19204.7991463842,3755.94661232064,20091.7144488123,17355.7174532646,43052.4128404116,36661.7549003493,18159.2233016378,17733.8247253824,18373.1084160492,43052.4128404116,17946.5240135101,23,115,"polyisoprenoid biosynthesis (E. coli)","polyisoprenoid biosynthesis (e. coli)","Biosynthesis"
