"pathway","insect_51_WholeSpecimen","insect_52_WholeSpecimen","insect_53_WholeSpecimen","insect_54_WholeSpecimen","insect_55_WholeSpecimen","insect_56_WholeSpecimen","insect_57_WholeSpecimen","insect_58_WholeSpecimen","insect_59_WholeSpecimen","insect_60_WholeSpecimen","insect_61_WholeSpecimen","insect_62_WholeSpecimen","insect_63_WholeSpecimen","insect_64_WholeSpecimen","insect_65_WholeSpecimen","insect_66_WholeSpecimen","insect_67_WholeSpecimen","insect_68_WholeSpecimen","insect_69_WholeSpecimen","insect_70_WholeSpecimen","mean_abundance","max_abundance","median_abundance","prevalence","prevalence_pct","description","description_lower","category"
"PWY-5695",18508.7684669649,7874.83137240713,11542.1930822809,18807.4436156477,28620.4362417545,28844.0182632355,10436.0803498532,7314.38496648337,37612.9993078384,10901.1262376457,17078.7215078781,30261.832062897,22472.9612360899,4629.10536987335,24556.6111174707,18339.6602328055,46344.2554776871,42326.1344985039,29371.0178931295,22347.4755729456,21909.5028436696,46344.2554776871,22128.4892083076,23,115,"inosine 5'-phosphate degradation","inosine 5'-phosphate degradation","Degradation"
"GLUCOSE1PMETAB-PWY",14268.82,7797.64,10045.8,15078.14,34515.74,35543.8,10468.75,1682.8,30536.5,9228.62,16872.21,33556.05,22982.5,3571.13,22277.28,18094.31,55218.84,33345.95,20791.24,27813.95,21184.5035,55218.84,20987.87175,23,115,"glucose and glucose-1-phosphate degradation","glucose and glucose-1-phosphate degradation","Degradation"
"PWY0-1296",27356.9016397006,8715.70413860862,14018.8094886676,23090.6159874048,19411.2582942369,32575.3753413536,9366.62324776651,729.96820279874,11209.1737654795,13330.30353951,18791.5601226168,23758.7950980215,15263.2946929094,6344.62579959042,25784.7409012294,17773.7506818877,41289.2930836253,11497.5653724626,24438.9252790744,21732.5836409433,18323.9934158944,41289.2930836253,18557.7767692556,23,115,"purine ribonucleosides degradation","purine ribonucleosides degradation","Degradation"
"PWY-5384",20579.6214082796,7839.11524816474,10163.4181902734,18469.354559224,29898.0857517845,31086.1159727471,11909.4630077743,2215.43719588969,25762.360770942,11647.7169586074,15974.9372581842,24757.7138596148,19331.3771048825,4864.73672968911,21719.8276511143,20676.5342318261,30083.19563341,5502.69940545514,21442.79550833,18020.4708977878,17597.248867199,31086.1159727471,18900.3658320533,23,115,"sucrose degradation IV (sucrose phosphorylase)","sucrose degradation iv (sucrose phosphorylase)","Degradation"
"PWY66-389",3334.63229066889,7374.01756688077,8985.38580213204,8910.22052736243,14549.6969580379,13050.1699316914,8291.32800089701,1686.78221182788,29569.3391747415,6240.96481180135,13538.1288419477,25088.2605590406,10396.6423798388,1825.94229891276,22762.3794692313,20516.8571195809,71220.2877103688,8310.22257939223,32838.7368476838,11891.9730926339,16019.0984087336,71220.2877103688,12471.0715121627,23,115,"phytol degradation","phytol degradation","Degradation"
"PWY0-1297",20801.8943847777,7195.44728873933,10509.4249541773,17022.4794198053,22420.948903191,25330.6266049036,7232.7024910517,461.081264062629,11728.768297949,10248.1179550718,14378.2093303516,23487.2828084708,18409.5066360965,4777.88355452614,21511.6004631509,13732.6280600779,20935.809443806,8418.61474937936,20135.8422727617,20238.4201203644,14948.8644501357,25330.6266049036,15985.6719349705,23,115,"superpathway of purine deoxyribonucleosides degradation","superpathway of purine deoxyribonucleosides degradation","Degradation"
"PWY-6317",16805.1096544059,6646.52236913073,7760.70894915345,10547.7878174189,31178.8849055925,22265.9905959667,7079.11564466534,584.803725097015,29663.4699694696,8646.59672273755,9487.82648542956,24972.0650207009,22228.4787850369,3704.13155198127,16903.247508488,8632.03858138497,4589.38590825723,4285.85636044651,15802.3712468923,19273.8951279724,13552.9143465114,31178.8849055925,12050.3510819652,23,115,"D-galactose degradation I (Leloir pathway)","d-galactose degradation i (leloir pathway)","Degradation"
"PWY-7237",25039.67,7081.28,3086.52,16869.4,8080.1,14890.8,8428,2012.4,5492.38,11833.8,11715.2,12830.46,12234.36,5545.75,18478.08,13485.81,33138.5,1695.75,16371.85,12369.5,12033.9805,33138.5,12134.17025,23,115,"myo-, chiro- and scyllo-inositol degradation","myo-, chiro- and scyllo-inositol degradation","Degradation"
"PWY-6901",11174.6475278206,5323.55215939461,7008.40165051899,10272.3939469294,23293.5840044899,21836.4896490494,6156.88971082854,2298.31508953446,24295.8582515972,7726.03657363439,10029.5439382564,17121.8038946668,15772.2633693744,2039.7158834614,15873.0691662149,10083.0378688739,10051.7087733594,2915.45597637732,18692.3260963971,9429.7607818049,11569.7427156292,24295.8582515972,10177.7159079016,23,115,"superpathway of glucose and xylose degradation","superpathway of glucose and xylose degradation","Degradation"
"HISDEG-PWY",16809.6482223992,5666.5917835506,4643.11890739309,15297.4408848149,5364.86104773321,6673.79995810948,5842.15468216806,398.586046511628,9417.21968059043,8406.3127743241,13210.8403979289,12569.5207729982,3536.41217466291,4134.82790916378,17206.9056416393,14727.2323527229,19882.6488067999,29433.0164868808,9744.74388411466,15749.297694226,10935.7590054366,29433.0164868808,10340.2514447756,23,115,"L-histidine degradation I","l-histidine degradation i","Degradation"
