"pathway","insect_51_WholeSpecimen","insect_52_WholeSpecimen","insect_53_WholeSpecimen","insect_54_WholeSpecimen","insect_55_WholeSpecimen","insect_56_WholeSpecimen","insect_57_WholeSpecimen","insect_58_WholeSpecimen","insect_59_WholeSpecimen","insect_60_WholeSpecimen","insect_61_WholeSpecimen","insect_62_WholeSpecimen","insect_63_WholeSpecimen","insect_64_WholeSpecimen","insect_65_WholeSpecimen","insect_66_WholeSpecimen","insect_67_WholeSpecimen","insect_68_WholeSpecimen","insect_69_WholeSpecimen","insect_70_WholeSpecimen","mean_abundance","max_abundance","median_abundance","prevalence","prevalence_pct","description","description_lower","category"
"PWY-1042",30719.1257227797,9783.60197815393,16468.5350504901,25255.9193000216,38676.0698518737,34953.992045164,14905.7927498342,1993.72284142687,42812.7695831622,15637.1545745833,21134.8569504121,31158.8992187079,23121.7464074284,7207.93850696306,29892.0350431321,24540.1467348352,36241.8791312456,34704.8472146017,36933.9126767241,21917.4152619555,24903.0180421748,42812.7695831622,25079.4686710982,23,115,"glycolysis IV","glycolysis iv","Energy Metabolism"
"NONOXIPENT-PWY",19282.1934418008,6525.6196290251,10216.7655390522,17845.4525539318,44203.2678788777,57603.5998088211,7716.13096179982,32176.8229454061,32895.4225787227,9923.93079793019,15396.7907505237,29625.830894899,25201.3752106016,4123.24365434711,20922.9935875538,14690.6227698436,36036.9262358542,34391.9131141282,29072.9885430303,17826.2572605721,23283.907407836,57603.5998088211,22103.4504976949,23,115,"pentose phosphate pathway (non-oxidative branch) I","pentose phosphate pathway (non-oxidative branch) i","Energy Metabolism"
"PWY-8178",21155.3111073539,7222.09817386277,11301.3378424509,19542.8423050791,43674.2315505896,54432.5788178912,7846.44860233885,10732.3488178119,35373.9648510463,11024.8176483625,16588.819877113,31048.088481033,24800.8513284199,4583.90718214068,22986.5604939225,14600.2128944121,33482.4056387375,34172.1542617054,30277.7689947174,19680.9652491838,22726.3857059086,54432.5788178912,21940.8484066312,23,115,"pentose phosphate pathway (non-oxidative branch) II","pentose phosphate pathway (non-oxidative branch) ii","Energy Metabolism"
"GLYCOLYSIS",18106.3359501274,6892.77401863813,10641.462733494,17023.8659054388,27966.2240269569,22033.7428013124,10654.8716925183,2103.95729765849,31001.9169091465,9934.18085885104,15335.3506152881,24833.6279415106,18994.5274870641,4238.92033688006,21103.0482645847,17419.6048208305,39136.889301539,33866.8941670118,23902.1121574869,17091.9192752528,18614.1113280795,39136.889301539,18360.2236391035,23,115,"glycolysis I (from glucose 6-phosphate)","glycolysis i (from glucose 6-phosphate)","Energy Metabolism"
"PWY-5484",18048.2546447656,6734.22426956567,10400.7570909455,16983.7660584407,26999.9327914717,19253.4742656949,9368.16403304726,1716.84874457132,29859.7726228285,9609.13214252193,14762.7377598011,24696.0046062763,17233.1489109652,4216.64040813559,20642.984122736,15414.2015820545,36154.0696425153,33725.6439594739,22240.1648159525,17012.115523991,17753.6018997877,36154.0696425153,17493.3754053764,23,115,"glycolysis II (from fructose 6-phosphate)","glycolysis ii (from fructose 6-phosphate)","Energy Metabolism"
"ANAGLYCOLYSIS-PWY",18477.668470356,7101.04631757954,10412.8192164711,16333.9318421729,29876.6020520381,22594.8981692638,10881.504066452,2104.44808479511,31603.3939163171,10224.7921804684,14257.7268334253,25288.9911479483,19643.1757539116,4308.20343785925,21525.9413527997,17010.0561789664,31361.6915415433,13998.5982162225,23104.1761141477,17654.9790632253,17388.2321977982,31603.3939163171,17521.6056305118,23,115,"glycolysis III (from glucose)","glycolysis iii (from glucose)","Energy Metabolism"
"GLUCONEO-PWY",18364.9913130303,6053.12001468556,10862.9151928758,17407.0233859497,26355.3492475989,18352.9492334091,9714.53475277018,3314.64366255113,27667.7780671178,9799.7092965083,15271.8964786148,19085.3998880839,13506.2609539551,4329.75946791619,21143.9246229421,17138.7105857234,37370.0094121233,34805.1804247386,24523.8156952572,11364.1197373802,17321.6045716616,37370.0094121233,17364.3139788056,23,115,"gluconeogenesis I","gluconeogenesis i","Energy Metabolism"
"PENTOSE-P-PWY",19549.6548886813,6454.55347702631,8183.60655678589,17015.8135781044,22424.6671866549,31668.9918820293,7907.37777691976,4101.1240065555,27235.4979152288,9719.06162114233,13585.468633405,23823.5790974763,17907.902816303,4316.9587364868,19089.2022918056,13493.6481884897,25074.7306168991,3258.76067383794,18386.006279826,18570.8344881133,15588.3720355885,31668.9918820293,17461.8581972037,23,115,"pentose phosphate pathway","pentose phosphate pathway","Energy Metabolism"
"P42-PWY",3015.07263237406,3875.30455501433,9962.45416531228,12160.0045900031,8850.15610044958,11222.0977943186,3437.60864862567,701.521797335738,36157.4680956047,4858.68748315308,11724.2993990962,15269.2498658932,5645.63814247173,1549.11054545434,15804.7291350733,7578.53725971798,27277.0582532444,7499.41920808321,17791.7094444043,6490.98470048522,10543.5555908057,36157.4680956047,9406.30513288093,23,115,"incomplete reductive TCA cycle","incomplete reductive tca cycle","Energy Metabolism"
"GLYCOLYSIS-E-D",16835.1023288417,5113.15101772384,8153.35916257463,13961.3026646828,8388.63258929426,11083.9570134225,7954.2031315889,717.51662329488,5537.46755325912,8621.81305217356,10911.6734576391,7907.08878954397,607.335592946155,3889.3510628285,15934.5880447831,12225.551829504,25740.9210015732,2674.82084626127,15769.310236997,8188.11937253863,9510.76326857356,25740.9210015732,8505.22282073391,23,115,"superpathway of glycolysis and the Entner-Doudoroff pathway","superpathway of glycolysis and the entner-doudoroff pathway","Energy Metabolism"
