"pathway","insect_51_WholeSpecimen","insect_52_WholeSpecimen","insect_53_WholeSpecimen","insect_54_WholeSpecimen","insect_55_WholeSpecimen","insect_56_WholeSpecimen","insect_57_WholeSpecimen","insect_58_WholeSpecimen","insect_59_WholeSpecimen","insect_60_WholeSpecimen","insect_61_WholeSpecimen","insect_62_WholeSpecimen","insect_63_WholeSpecimen","insect_64_WholeSpecimen","insect_65_WholeSpecimen","insect_66_WholeSpecimen","insect_67_WholeSpecimen","insect_68_WholeSpecimen","insect_69_WholeSpecimen","insect_70_WholeSpecimen","mean_abundance","max_abundance","median_abundance","prevalence","prevalence_pct","description","description_lower","category"
"PWY0-1586",73504.2895063743,26826.9189890106,38903.2607017951,58857.8755968812,70950.6558730596,87559.685317891,41556.9137571324,46004.7607013208,104153.14656263,40191.3211823761,54030.6573897407,91468.1918694831,62049.5131950635,17641.2065607939,80154.0974964601,68481.1231036668,161389.017096198,70388.5408132906,93326.2206685531,73914.6140400458,68067.6005210883,161389.017096198,69434.8319584788,23,115,"peptidoglycan maturation (meso-diaminopimelate containing)","peptidoglycan maturation (meso-diaminopimelate containing)","Other Metabolic Pathways"
"CALVIN-PWY",19264.9957962543,7083.43195106409,11988.5169138784,21009.1471170026,36586.2660907861,29411.3445280728,9396.15730098671,32205.5450705606,36414.5577023066,10689.7212096536,18109.5578665575,26754.276503522,20351.3586976957,4438.8664257291,24262.4526397877,17317.8274893698,38035.4755814024,44338.9723253289,29712.6979475419,17784.9756864197,22757.807242196,44338.9723253289,21883.4771795993,23,115,"Calvin-Benson-Bassham cycle","calvin-benson-bassham cycle","Other Metabolic Pathways"
"PWY-7357",17445.1122166417,6104.05034730759,10997.0714313351,16274.1542330649,29653.0388115216,11829.3559903463,6443.29739654957,2592.92107064699,32924.9895024174,9236.32273389393,14458.6062124732,27013.5372812218,17040.4155937649,3931.65575299734,21127.0829971628,13647.7797096409,35327.0308738862,34716.7912939876,28464.6650673271,17433.1105388128,17833.04945275,35327.0308738862,17236.7630662889,23,115,"thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)","thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)","Other Metabolic Pathways"
"TRNA-CHARGING-PWY",15026.0075051111,5892.29483147004,9613.84259025225,14914.5676930211,27901.2944525252,19000.2084684156,9627.78684038986,3620.06991252562,30331.8594868544,8616.93195214893,14058.6256963262,20359.341934707,16470.4756164078,3601.77668524782,19300.3361458077,17074.9746738939,42578.9282010491,34575.1939869803,23031.3427817088,12524.927052684,17406.0393253763,42578.9282010491,16772.7251451508,23,115,"tRNA charging","trna charging","Other Metabolic Pathways"
"NONMEVIPP-PWY",14572.3888705383,4136.9635402902,9031.33031265347,13433.5439694996,20534.5912910946,8956.2028874154,9762.03572824849,6753.942098233,27184.6531989608,7817.72204976643,12291.6903332051,11337.6870198829,7849.24005680837,3349.691570027,14661.9743598119,17497.3309579249,40724.7069143531,13852.6567192749,21975.4179754108,4389.88124035603,13505.6825546878,40724.7069143531,12862.6171513524,23,115,"methylerythritol phosphate pathway I","methylerythritol phosphate pathway i","Other Metabolic Pathways"
"PWY-7560",14572.3888705383,4136.9635402902,9031.33031265347,13433.5439694996,20534.5912910946,8956.2028874154,9762.03572824849,6753.942098233,27184.6531989608,7817.72204976643,12291.6903332051,11337.6870198829,7849.24005680837,3349.691570027,14661.9743598119,17497.3309579249,40724.7069143531,13852.6567192749,21975.4179754108,4389.88124035603,13505.6825546878,40724.7069143531,12862.6171513524,23,115,"methylerythritol phosphate pathway II","methylerythritol phosphate pathway ii","Other Metabolic Pathways"
"PWY-5136",30264.1770103304,8095.57891923039,8490.1816002196,21108.4757383509,5165.31051714221,10789.1939201104,10214.6373227106,702.077217125745,4795.52135783167,13886.666519033,13386.4658576658,9809.85946257788,2105.93237952351,7149.12560129457,22410.5637427347,17413.8576499205,31121.6783962953,2846.23856519214,20698.7558004721,8334.69803970594,12439.4497808734,31121.6783962953,10501.9156214105,23,115,"fatty acid &beta;-oxidation II (plant peroxisome)","fatty acid &beta;-oxidation ii (plant peroxisome)","Other Metabolic Pathways"
"PPGPPMET-PWY",18694.8782414339,5632.91087184733,9620.9022727199,13556.2234146802,5219.34662703669,8613.8556114651,13167.5971973867,799.379816124644,26569.729879134,9653.18780814418,12050.5083288407,9646.13599940794,3626.40297762284,4378.04942601659,15662.18043713,20282.3616365881,43640.2286642588,3754.55275028355,15931.8122934353,6318.2577790984,12340.9251016327,43640.2286642588,10851.8480684925,23,115,"ppGpp metabolism","ppgpp metabolism","Other Metabolic Pathways"
"FAO-PWY",30184.4858615686,7887.97232959683,8416.55228740298,20795.6382827021,4898.83988293258,10200.2806055387,10176.9137202536,0,3696.16531953043,13577.1802723553,13108.7469031543,8286.81338740718,1366.80998181478,7125.94444447928,21365.9454997585,16876.2001376394,27087.4209252176,2085.28521085374,18244.0256145442,7974.33996814134,11667.7780317446,30184.4858615686,10188.5971628961,22,110,"fatty acid &beta;-oxidation I (generic)","fatty acid &beta;-oxidation i (generic)","Other Metabolic Pathways"
"PWY0-781",16556.2737910442,5522.06492034609,6581.35464762727,14104.8089282172,14526.1039599175,17130.0092849133,7558.38762710492,1464.94453234833,10618.3430268509,8754.82463424095,11637.2556628226,13054.6341396225,8921.84617434313,3773.21948149732,15667.4165277783,12787.3437691775,22197.7065132399,6655.37440066495,19706.9429879329,8309.09445737186,11276.3974733531,22197.7065132399,11456.8265680878,23,115,"aspartate superpathway","aspartate superpathway","Other Metabolic Pathways"
