"pathway","insect_51_WholeSpecimen","insect_52_WholeSpecimen","insect_53_WholeSpecimen","insect_54_WholeSpecimen","insect_55_WholeSpecimen","insect_56_WholeSpecimen","insect_57_WholeSpecimen","insect_58_WholeSpecimen","insect_59_WholeSpecimen","insect_60_WholeSpecimen","insect_61_WholeSpecimen","insect_62_WholeSpecimen","insect_63_WholeSpecimen","insect_64_WholeSpecimen","insect_65_WholeSpecimen","insect_66_WholeSpecimen","insect_67_WholeSpecimen","insect_68_WholeSpecimen","insect_69_WholeSpecimen","insect_70_WholeSpecimen","mean_abundance","max_abundance","median_abundance","prevalence","prevalence_pct","description","description_lower","category"
"PWY-6609",27000.0553848765,9029.85261115756,13317.255415088,22959.4787896874,30029.8364728083,38303.7083817328,9887.25844725464,774.13251109364,39778.1027141606,12759.4418693845,20888.5115601728,36703.2050981135,25089.6355329969,6229.53710947753,28840.2507347937,18411.1498386805,43153.2923469183,61805.2074474222,29865.183292171,29246.0880303113,25203.5591794151,61805.2074474222,26101.8072821458,23,115,"adenine and adenosine salvage III","adenine and adenosine salvage iii","Salvage Pathways"
"PWY-6897",16079.8415027836,5624.68488208405,7641.06769545101,15424.8998635051,24358.6008234732,8066.07899181787,6186.78530255889,1609.67473701359,24121.8345568166,8252.56360006211,12978.8903919838,22320.7149582544,14168.3836222944,3688.36525081192,18798.8266986402,11687.8313252922,24651.575865268,32766.489493751,21312.1133993656,16915.8233533798,14832.7523157304,32766.489493751,15128.8260896177,23,115,"thiamine diphosphate salvage II","thiamine diphosphate salvage ii","Salvage Pathways"
"PWY-7208",14305.914672048,5027.29716034866,7721.89594739772,12057.7352372907,12843.1170077676,11573.0121061858,9908.48019064118,3677.31372701568,25686.577968929,7756.11633874707,10618.8475526673,14618.1194331199,14333.7016731101,3285.16277934028,16163.7564432033,17154.6123394415,41410.9395317454,5463.75656279844,21458.4507547111,6146.49163502606,13060.5649530767,41410.9395317454,12450.4261225292,23,115,"superpathway of pyrimidine nucleobases salvage","superpathway of pyrimidine nucleobases salvage","Salvage Pathways"
"PWY0-1261",22776.8934146405,6669.89420621075,9802.29241312746,16231.5719089394,4841.24995854967,19320.7535192412,9379.72729042342,2537.6951424487,8798.96434822325,10782.0312105156,11908.3254550631,15222.2560571355,7393.27757126485,5286.83006557209,19806.2905126351,12694.3680631041,30492.0475753963,3354.81063752376,13663.6790281221,12211.3577885484,12158.7158083343,30492.0475753963,12033.5206316987,23,115,"anhydromuropeptides recycling I","anhydromuropeptides recycling i","Salvage Pathways"
"PWY-7356",2736.94053741058,3851.9241705671,4596.45915289857,8790.82265578705,24020.1458652378,8450.96814445069,7194.58074023394,5188.04196895193,16240.4911661418,3689.98287842905,9193.34020295239,22981.8157550142,14706.5548591931,656.037700142399,14675.3380046164,9699.31815255573,16951.0431091106,31796.8047493003,19910.043996102,16871.2159541766,12110.0934881636,31796.8047493003,10904.7058203597,23,115,"thiamine diphosphate salvage IV (yeast)","thiamine diphosphate salvage iv (yeast)","Salvage Pathways"
"PWY-7761",13989.7558181527,4156.3435233478,5658.12619504818,12177.7839841294,16234.3720737206,8375.40314987812,6475.78741870207,1534.1402162514,17176.0230107256,7426.87685897007,8721.40591385427,9641.30301068058,7339.60257617989,3143.3135575351,13722.0351105555,10144.7847196838,24573.6786745331,3130.30925063383,15460.7852352799,6102.60822733344,9759.22192625977,24573.6786745331,9181.35446226743,23,115,"NAD salvage pathway II (PNC IV cycle)","nad salvage pathway ii (pnc iv cycle)","Salvage Pathways"
"PWY-7883",22440.8644463397,4859.567704659,9760.21292355369,16086.4716180109,4226.306077616,9183.90587169664,8056.8078990109,865.634193229286,3156.9928419859,10125.6456595454,10590.4346268411,7393.14576643285,1129.6252443299,5286.83006557209,15907.5200950836,12126.9336619399,26461.8084429978,1847.69208482763,12163.860239918,5964.32860404319,9381.72940338167,26461.8084429978,9282.81763753916,23,115,"anhydromuropeptides recycling II","anhydromuropeptides recycling ii","Salvage Pathways"
"COBALSYN-PWY",1408.09230193629,574.157410104204,6300.25479801521,5302.95907036802,20063.1037283484,2811.53397289331,1321.85650047089,1191.27413381148,24276.1746650014,1146.47815963507,5097.36201107584,4946.91507042397,6570.55340039529,402.641826640466,4772.01518999977,2351.8426259456,17555.0106591056,29402.0250451848,14798.5519794878,478.765550207317,7538.57840495254,29402.0250451848,5022.13854074991,23,115,"superpathway of adenosylcobalamin salvage from cobinamide I","superpathway of adenosylcobalamin salvage from cobinamide i","Salvage Pathways"
"PWY-6269",1371.85678349986,564.349367793013,4099.41950781153,5295.39306035783,18097.8279286588,2564.50804744835,1277.46364093058,1196.9245199886,24199.468899217,1110.25978125871,5060.8803704405,4629.18483657045,6092.88505779372,386.368538448191,4664.15058454725,2283.73962020004,17335.7374579446,29298.5130445365,13727.2317574603,474.059134933977,7186.51109699199,29298.5130445365,4646.66771055885,23,115,"superpathway of adenosylcobalamin salvage from cobinamide II","superpathway of adenosylcobalamin salvage from cobinamide ii","Salvage Pathways"
"PWY-7094",623.047652819226,6021.86045531185,5442.78846897956,565.233484692931,1471.50458326804,5496.86893731638,1223.7586728821,809.459474356744,5858.6528461606,5317.66897858501,3744.50690496373,10212.8406480269,2580.14179581652,1485.39917171974,15114.2038082491,7924.04992484907,34199.7110891467,3023.36738649383,21477.794852464,6963.51470090149,6977.81869185017,34199.7110891467,5469.82870314797,23,115,"fatty acid salvage","fatty acid salvage","Salvage Pathways"
"PYRIDNUCSAL-PWY",13535.651721533,3610.45950579191,3679.30499572859,10607.4660326139,9323.99896534893,6432.0758807083,5390.73048212539,424.775247761466,3827.80346525919,6527.66128381579,7627.3525334467,6244.02534092667,1662.54271134221,3064.53566594756,11296.1467998534,8326.26788871469,8119.61000914823,2412.52317257326,8096.44668653985,4806.02715868834,6250.77027739337,13535.651721533,6341.42307905083,23,115,"NAD salvage pathway I (PNC VI cycle)","nad salvage pathway i (pnc vi cycle)","Salvage Pathways"
"PWY3O-4107",13682.0495831804,3797.37559644489,3370.14872444849,10729.0235672131,8981.57856285987,6801.49592303394,5259.84661656772,1442.42124831307,4715.1315700856,6547.50929730011,7685.87697640728,6127.7680271991,1338.77297785712,3071.87844667664,10936.9184587634,8227.66750989246,6449.46066353508,2533.09851519304,6992.51176303621,4663.14589670552,6167.68399623565,13682.0495831804,6308.57232988537,23,115,"NAD salvage pathway V (PNC V cycle)","nad salvage pathway v (pnc v cycle)","Salvage Pathways"
"NAD-BIOSYNTHESIS-II",14202.4167216555,3131.74976442959,5552.30997523818,9798.83993397018,2785.26397763223,4464.23748559432,4816.30527821626,0,828.461190049779,6227.30258448983,6230.60215631029,2385.42220300366,356.841215976609,3242.54440926983,9031.55185079346,7458.02761917217,325.163593030756,409.599193616852,5049.6531879126,3633.25934039042,4496.47758403763,14202.4167216555,4480.35753481597,22,110,"NAD salvage pathway III (to nicotinamide riboside)","nad salvage pathway iii (to nicotinamide riboside)","Salvage Pathways"
"PWY-7199",1777.91903234718,498.589995686682,2056.13124229139,85.8072291668839,348.992254856057,2127.58502711521,0,189.643714640541,5995.59134276259,525.617232010208,1615.4687788481,5078.60254778719,2385.84467458696,213.263536932179,1679.48783058974,2831.9548138334,3529.01713771033,5092.25933330949,9582.1110144306,220.418021788954,2291.71523803468,9582.1110144306,1917.02513731928,22,110,"pyrimidine deoxyribonucleosides salvage","pyrimidine deoxyribonucleosides salvage","Salvage Pathways"
"PWY66-409",0,1981.75020593308,1804.60729112966,284.841120906681,79.8839876722673,84.6837398845473,433.924950363495,827.807692954218,0,2287.86875765849,261.932597246443,310.470482568872,0,343.435851718193,5176.77120303162,1316.60463766568,23338.516225009,2110.48445944919,8.49738068429169,0,2032.60402919378,23338.516225009,388.680401040844,19,95,"superpathway of purine nucleotide salvage","superpathway of purine nucleotide salvage","Salvage Pathways"
