"ec","insect_51_WholeSpecimen","insect_52_WholeSpecimen","insect_53_WholeSpecimen","insect_54_WholeSpecimen","insect_55_WholeSpecimen","insect_56_WholeSpecimen","insect_57_WholeSpecimen","insect_58_WholeSpecimen","insect_59_WholeSpecimen","insect_60_WholeSpecimen","insect_61_WholeSpecimen","insect_62_WholeSpecimen","insect_63_WholeSpecimen","insect_64_WholeSpecimen","insect_65_WholeSpecimen","insect_66_WholeSpecimen","insect_67_WholeSpecimen","insect_68_WholeSpecimen","insect_69_WholeSpecimen","insect_70_WholeSpecimen","mean_abundance","description"
"3.6.4.12",140249.2,57606.4,82953.92,139753.69,259780.38,214347,85995.75,311309,274512.34,81583.54,133287.72,215670.98,181324.98,33122.3,183065.77,157840.4,391371.49,320938.07,230510.51,157127.25,182617.5345,"DNA helicase"
"2.7.7.7",140376.34,58101.74,87098.65,134671.56,247748.88,217010,94787.75,223360.5,283830.77,81921.87,131555.06,218342.18,182346.43,33006.3,181020.8,168313.07,419474.48,293101.8,226608.6,157174.25,178992.5515,"DNA-directed DNA polymerase"
"2.7.13.3",137721.19,52769.69,75997.94,123950.2,165345.94,204600.8,69692.5,73468,153834.2,76113.95,105613.88,191103.92,128741.48,32054.5,159527.04,123127.44,286092.46,229205.54,203843.21,155293.9,137404.889,"Histidine kinase"
"3.4.16.4",124477.45,40544.3,68483.15,115551.15,163626.53,122923.2,69887.5,99556,153080.81,66060.24,103024.34,123533.29,91810.83,31920.88,131749.74,124262.79,252073.15,227896.92,143810.58,90838.2,117255.5525,"Serine-type D-Ala-D-Ala carboxypeptidase"
"1.6.5.3",128469.35,35224.9,69100.39,106596.3,70480.64,54482,96879.5,308362,206719.9,67198.5,92716.55,61592.39,27567.17,31255.7,106873.86,145426.69,248906.65,133171.2,78646.53,35460.9,105256.556,"Transferred entry 7.1.1.2"
"5.2.1.8",106167.15,33609.74,61773.29,89783.25,70771.5,90871.9,61779.25,68052.2,207041.8,56304.08,81550.62,90264.04,55015.97,28193.82,106336.52,103046.81,279621.06,137933.89,120523.74,64117.15,95637.889,"Peptidylprolyl isomerase"
"2.7.7.6",56120.75,23496.36,36047.41,55926.08,97715.19,86627,38743.75,95507.6,100615.57,33257.55,54588.38,90123.29,74225.36,13361.32,74728.83,69524.95,183823.2,129235,96059.96,63178.65,73645.31,"DNA-directed RNA polymerase"
"3.6.4.13",93183.22,26294.11,46345.79,68718.21,47887.76,69617,50688.75,8971.8,83580.72,44972.15,59567.56,62658.22,39849.95,21396.07,74695.62,85600.06,197658.36,49862.19,77715.31,47296.55,62827.97,"RNA helicase"
"1.1.1.100",67604.59,25218.53,27445.26,58597.27,66267.51,58296.2,37515,36425.2,80987.98,36363.41,51516.78,69815.87,50445.09,18791.22,73966.25,74223.1,175156.28,99024.63,83208.2,46162.7,61851.5535,"3-oxoacyl-[acyl-carrier-protein] reductase"
"3.5.1.28",58969.9,16707.66,38742.47,68694.07,72843.46,67092.5,23628.25,3061.4,98371.54,29689.55,58719.4,55596.27,41947.54,16791.35,67306.24,51749.93,105740.76,212112.01,85352.2,33040.95,60307.8725,"N-acetylmuramoyl-L-alanine amidase"
"3.6.3.14",55392.92,17234.02,33498.72,50988.01,76747.65,81434.2,28208.5,64021.8,70475.03,28591.78,43215.06,61290.64,46227.77,12701.48,60400.85,51545.5,135420.74,95874.22,77870.6,44845.9,56799.2695,"Transferred entry 7.1.2.2"
"1.11.1.15",52246.18,17543.56,30764.56,52406.71,28213.2,54771.4,33726.5,64909.8,88141.22,28405.1,47012.22,50120.59,28130.78,12888.21,58637.64,58013.74,136404.71,120605.67,62870.49,37790.7,53180.149,"Peroxiredoxin"
"3.6.3.34",66129.3,20549.34,47685.69,59458.41,35981.73,88501,32253.25,3249.8,75993.4,33294.38,49435.44,52964.93,27938.13,15912.11,62581.71,61641.6,100221.59,102532.71,73163.42,40749.05,52511.8495,"Transferred entry 7.2.2.16"
