"ko","insect_51_WholeSpecimen","insect_52_WholeSpecimen","insect_53_WholeSpecimen","insect_54_WholeSpecimen","insect_55_WholeSpecimen","insect_56_WholeSpecimen","insect_57_WholeSpecimen","insect_58_WholeSpecimen","insect_59_WholeSpecimen","insect_60_WholeSpecimen","insect_61_WholeSpecimen","insect_62_WholeSpecimen","insect_63_WholeSpecimen","insect_64_WholeSpecimen","insect_65_WholeSpecimen","insect_66_WholeSpecimen","insect_67_WholeSpecimen","insect_68_WholeSpecimen","insect_69_WholeSpecimen","insect_70_WholeSpecimen","mean_abundance","description"
"ko:K01990",34125.21,27429.29,30961.44,63680.14,156686.98,170571.8,20662.5,5179.2,189569.38,28705.92,63762.12,155187.42,123265.55,8814.3,98220.04,47590.86,151372.18,270778.6,144371.89,112739.5,95183.716,"ABC-2 type transport system ATP-binding protein"
"ko:K01992",82339.15,31865.22,46766.23,85442.51,123135.72,183650.9,44517.75,4003,150265.15,45178.05,74513.92,129804.21,98234.48,19157.02,107808.25,80946.17,165949.1,209192.06,120601.32,95964.25,94966.723,"ABC-2 type transport system permease protein"
"ko:K06147",36078.97,27036.25,35956.01,52043.74,172406.92,162265.5,13778.5,124656.6,123640.61,27418.8,52795.67,147790.47,110475.74,13549.53,92401.24,32950.74,142212.65,191273.72,103993.53,124020.9,89337.3045,"ATP-binding cassette, subfamily B, bacterial"
"ko:K02004",20188.13,25199.44,23435.05,34293.51,152630.06,162213.2,15776.5,62317.5,154106.64,21954.44,44405.79,142582.97,114834.52,5185.01,70903.86,27118.98,104445.31,141956.26,107196.18,111547,77114.5175,"putative ABC transport system permease protein"
"ko:K07497",66063.13,21429.26,33966.8,56108.9,50315.12,90010.5,45467.5,296921.4,43932.34,33645.04,59999.31,46462.08,42293.64,16585.83,61337.34,98217.82,193225.61,92849.04,71698.53,28866.6,72469.7895,"putative transposase"
"ko:K03088",43927.15,17093.75,27095.63,59046.6,124992.96,59995.9,23396.75,35551.8,232531.75,28984.18,47598.84,74971.8,48932.29,11136.8,71222.2,44950.92,143229.89,181643.33,125479.79,35912.75,71884.754,"RNA polymerase sigma-70 factor, ECF subfamily"
"ko:K02529",72286.95,29581.07,36152.71,59461.17,138383.56,165847.9,25612,6927.2,93420.64,35930.59,46850.02,114508.17,102081.78,15723.38,82707.65,45430.44,41004.29,67985.04,82378.11,112255.3,68726.3985,"LacI family transcriptional regulator"
"ko:K02003",19956.5,21364.29,25499.97,33690.41,138256.5,158783.9,13420.25,2270.7,114965.99,20071.29,41411.81,129939.73,107655.48,4883.91,64990.25,27507.61,92817.28,140575.48,96190.3,94501.05,67437.635,"putative ABC transport system ATP-binding protein"
"ko:K02016",103929.16,26917.39,60259.16,85819.11,48214.07,87803.7,48883.25,3754.4,78359.62,49601.68,68781.12,53491.06,28383.19,24359.99,85283.05,92421.93,144965.28,106107.79,98066.65,37484.15,66644.2875,"iron complex transport system substrate-binding protein"
"ko:K02029",67880.66,25674.81,36867.81,53401.15,98737.99,100109.9,36407.75,5111,32888.76,35802.27,49869.8,94156.98,74441.3,15969.58,69403.43,68814.6,157555.85,68638.2,69553.17,77181.95,61923.348,"polar amino acid transport system permease protein"
