"pathway","insect_51_WholeSpecimen","insect_52_WholeSpecimen","insect_53_WholeSpecimen","insect_54_WholeSpecimen","insect_55_WholeSpecimen","insect_56_WholeSpecimen","insect_57_WholeSpecimen","insect_58_WholeSpecimen","insect_59_WholeSpecimen","insect_60_WholeSpecimen","insect_61_WholeSpecimen","insect_62_WholeSpecimen","insect_63_WholeSpecimen","insect_64_WholeSpecimen","insect_65_WholeSpecimen","insect_66_WholeSpecimen","insect_67_WholeSpecimen","insect_68_WholeSpecimen","insect_69_WholeSpecimen","insect_70_WholeSpecimen","mean_abundance","max_abundance","median_abundance","prevalence","prevalence_pct","description","description_lower","category"
"PWY0-1586",73504.2895063743,26826.9189890106,38903.2607017951,58857.8755968812,70950.6558730596,87559.685317891,41556.9137571324,46004.7607013208,104153.14656263,40191.3211823761,54030.6573897407,91468.1918694831,62049.5131950635,17641.2065607939,80154.0974964601,68481.1231036668,161389.017096198,70388.5408132906,93326.2206685531,73914.6140400458,68067.6005210883,161389.017096198,69434.8319584788,23,115,"peptidoglycan maturation (meso-diaminopimelate containing)","peptidoglycan maturation (meso-diaminopimelate containing)","Other Metabolic Pathways"
"PWY-7663",20727.6154527211,9973.13564708776,15063.7722873491,19544.7817790076,27559.2126204512,32928.8126178226,15507.4754519704,37357.4355840278,53202.0423331253,12978.5074503671,19519.7057692071,34661.2022187201,24120.9245533705,5009.1973565523,29936.3398282568,26527.213055515,61724.4632348947,39215.4399019631,37428.495043795,24859.2973452011,27392.2534765703,61724.4632348947,26959.7332660427,23,115,"gondoate biosynthesis (anaerobic)","gondoate biosynthesis (anaerobic)","Fermentation"
"PWY-5667",29354.1861988132,9754.34678268787,14295.9897310645,24870.498471157,34351.6004503151,29725.1490510337,13310.1154674555,36479.952658537,32713.0300509537,15228.1002746881,19166.4299116939,29085.2774018086,23122.838977619,6689.64865820631,29069.8762965388,22602.3705429652,43906.2932950113,37691.4013241933,31736.5915660054,21393.6885866001,25227.3692848674,43906.2932950113,27148.6227907031,23,115,"CDP-diacylglycerol biosynthesis I","cdp-diacylglycerol biosynthesis i","Biosynthesis"
"PWY0-1319",29354.1861988132,9754.34678268787,14295.9897310645,24870.498471157,34351.6004503151,29725.1490510337,13310.1154674555,36479.952658537,32713.0300509537,15228.1002746881,19166.4299116939,29085.2774018087,23122.838977619,6689.64865820631,29069.8762965388,22602.3705429652,43906.2932950113,37691.4013241933,31736.5915660054,21393.6885866001,25227.3692848674,43906.2932950113,27148.6227907031,23,115,"CDP-diacylglycerol biosynthesis II","cdp-diacylglycerol biosynthesis ii","Biosynthesis"
"PWY-6609",27000.0553848765,9029.85261115756,13317.255415088,22959.4787896874,30029.8364728083,38303.7083817328,9887.25844725464,774.13251109364,39778.1027141606,12759.4418693845,20888.5115601728,36703.2050981135,25089.6355329969,6229.53710947753,28840.2507347937,18411.1498386805,43153.2923469183,61805.2074474222,29865.183292171,29246.0880303113,25203.5591794151,61805.2074474222,26101.8072821458,23,115,"adenine and adenosine salvage III","adenine and adenosine salvage iii","Salvage Pathways"
"PWY-1042",30719.1257227797,9783.60197815393,16468.5350504901,25255.9193000216,38676.0698518737,34953.992045164,14905.7927498342,1993.72284142687,42812.7695831622,15637.1545745833,21134.8569504121,31158.8992187079,23121.7464074284,7207.93850696306,29892.0350431321,24540.1467348352,36241.8791312456,34704.8472146017,36933.9126767241,21917.4152619555,24903.0180421748,42812.7695831622,25079.4686710982,23,115,"glycolysis IV","glycolysis iv","Energy Metabolism"
"PWY-5973",18974.3152950943,9607.25581684347,12088.7987636844,18068.5838402099,25682.0113194588,29460.6467357363,15286.6277012414,36293.1534661628,40510.9485293002,11744.8848665382,17560.2936132127,30413.5735706402,22394.7509507559,4597.2596325383,24518.2408664449,24810.3718992342,57491.215952371,37108.3518072187,31303.3153634256,21308.0861190902,24461.1343054601,57491.215952371,24489.6875859525,23,115,"cis-vaccenate biosynthesis","cis-vaccenate biosynthesis","Biosynthesis"
"PHOSLIPSYN-PWY",24319.0926505342,8926.22253944782,12992.9744323937,22210.5208869329,31584.7300828126,29852.709354335,13728.6197936043,39474.9651290537,28840.9346297108,13153.0328824488,18642.2506826508,27146.4309834199,22239.1191464017,5623.4156935715,26621.3418875433,23000.2231852879,43715.9464407802,40394.0697794707,30239.3880294082,19944.4027296234,24132.5195469716,43715.9464407802,24225.8060987529,23,115,"superpathway of phospholipid biosynthesis I (bacteria)","superpathway of phospholipid biosynthesis i (bacteria)","Biosynthesis"
"NONOXIPENT-PWY",19282.1934418008,6525.6196290251,10216.7655390522,17845.4525539318,44203.2678788777,57603.5998088211,7716.13096179982,32176.8229454061,32895.4225787227,9923.93079793019,15396.7907505237,29625.830894899,25201.3752106016,4123.24365434711,20922.9935875538,14690.6227698436,36036.9262358542,34391.9131141282,29072.9885430303,17826.2572605721,23283.907407836,57603.5998088211,22103.4504976949,23,115,"pentose phosphate pathway (non-oxidative branch) I","pentose phosphate pathway (non-oxidative branch) i","Energy Metabolism"
"PWY4FS-7",21731.5963051669,8316.97852185188,12066.3746553324,20233.8718582737,30170.541699195,28146.5683487851,12907.1269044207,37878.7952393494,24635.1225637409,12019.9306015857,17563.2737800001,26249.1727201078,21723.6474022992,5048.47088647102,24848.9821906068,21826.024872097,44810.196982372,38635.7410367553,28902.4187763246,19104.9454794558,22840.9890412096,44810.196982372,22333.5069566533,23,115,"phosphatidylglycerol biosynthesis I (plastidic)","phosphatidylglycerol biosynthesis i (plastidic)","Biosynthesis"
"PWY4FS-8",21731.5963051669,8316.97852185188,12066.3746553324,20233.8718582737,30170.541699195,28146.5683487851,12907.1269044207,37878.7952393494,24635.1225637409,12019.9306015857,17563.2737800001,26249.1727201078,21723.6474022992,5048.47088647102,24848.9821906068,21826.024872097,44810.196982372,38635.7410367553,28902.4187763246,19104.9454794558,22840.9890412096,44810.196982372,22333.5069566533,23,115,"phosphatidylglycerol biosynthesis II (non-plastidic)","phosphatidylglycerol biosynthesis ii (non-plastidic)","Biosynthesis"
"CALVIN-PWY",19264.9957962543,7083.43195106409,11988.5169138784,21009.1471170026,36586.2660907861,29411.3445280728,9396.15730098671,32205.5450705606,36414.5577023066,10689.7212096536,18109.5578665575,26754.276503522,20351.3586976957,4438.8664257291,24262.4526397877,17317.8274893698,38035.4755814024,44338.9723253289,29712.6979475419,17784.9756864197,22757.807242196,44338.9723253289,21883.4771795993,23,115,"Calvin-Benson-Bassham cycle","calvin-benson-bassham cycle","Other Metabolic Pathways"
"PWY-8178",21155.3111073539,7222.09817386277,11301.3378424509,19542.8423050791,43674.2315505896,54432.5788178912,7846.44860233885,10732.3488178119,35373.9648510463,11024.8176483625,16588.819877113,31048.088481033,24800.8513284199,4583.90718214068,22986.5604939225,14600.2128944121,33482.4056387375,34172.1542617054,30277.7689947174,19680.9652491838,22726.3857059086,54432.5788178912,21940.8484066312,23,115,"pentose phosphate pathway (non-oxidative branch) II","pentose phosphate pathway (non-oxidative branch) ii","Energy Metabolism"
"PWY-5695",18508.7684669649,7874.83137240713,11542.1930822809,18807.4436156477,28620.4362417545,28844.0182632355,10436.0803498532,7314.38496648337,37612.9993078384,10901.1262376457,17078.7215078781,30261.832062897,22472.9612360899,4629.10536987335,24556.6111174707,18339.6602328055,46344.2554776871,42326.1344985039,29371.0178931295,22347.4755729456,21909.5028436696,46344.2554776871,22128.4892083076,23,115,"inosine 5'-phosphate degradation","inosine 5'-phosphate degradation","Degradation"
"PWY-7953",15559.1516375191,6672.11111512197,9839.49827213443,16400.2769855666,30599.4724406952,25909.3896176784,10663.4473795123,33639.3580844084,35665.5881811401,9419.76725234209,15765.3391865733,26324.5398702719,22006.9637798037,3690.28060824359,21781.5284026925,18826.6167534209,45451.1175734027,40386.9923996674,26520.8011559972,18556.5847393928,21683.9412717792,45451.1175734027,21732.7348372359,23,115,"UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)","udp-n-acetylmuramoyl-pentapeptide biosynthesis iii (meso-diaminopimelate containing)","Biosynthesis"
"PWY-6387",15357.0389628773,6561.75010958612,9707.34475160671,16056.9603802435,29972.4763503055,25326.5483153768,10566.5673630561,33319.3890028759,36671.9822632701,9271.32623079249,15459.0538313441,25772.21955106,21554.3101425216,3642.42995377984,21306.9617326128,18637.3700444403,45078.0088622415,39154.937652987,26128.0039559336,18157.7800928527,21385.1229774882,45078.0088622415,21346.0423550505,23,115,"UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)","udp-n-acetylmuramoyl-pentapeptide biosynthesis i (meso-diaminopimelate containing)","Biosynthesis"
"PWY-6385",16362.6692209524,6990.82122180226,10306.6795555085,16814.7721422897,30568.1296725943,26577.8609255629,11216.0465571424,14172.6413561824,37735.0610651992,9834.22587447691,16174.7747277834,27149.2600216747,22453.743435214,3884.38120796718,22411.2102027563,19708.7716962902,47841.0702775578,38564.2289006056,27558.4436733573,19231.1367827613,21277.7964258839,47841.0702775578,20493.2840610871,23,115,"peptidoglycan biosynthesis III (mycobacteria)","peptidoglycan biosynthesis iii (mycobacteria)","Biosynthesis"
"GLUCOSE1PMETAB-PWY",14268.82,7797.64,10045.8,15078.14,34515.74,35543.8,10468.75,1682.8,30536.5,9228.62,16872.21,33556.05,22982.5,3571.13,22277.28,18094.31,55218.84,33345.95,20791.24,27813.95,21184.5035,55218.84,20987.87175,23,115,"glucose and glucose-1-phosphate degradation","glucose and glucose-1-phosphate degradation","Degradation"
"PWY-7220",19543.8061103536,6659.95142992106,10768.5368985057,17640.2295429299,28502.6025887787,24138.6557370298,12022.2719480707,37634.1134806131,31850.2806578351,9667.91702421783,15326.7235820382,23046.19772043,20281.6546867029,4251.75826076223,21234.5333898539,19751.9356421143,43567.2898211307,34927.8035527536,22883.8312310642,19232.010315843,21146.6051810474,43567.2898211307,20714.1299338752,23,115,"adenosine deoxyribonucleotides de novo biosynthesis II","adenosine deoxyribonucleotides de novo biosynthesis ii","Biosynthesis"
"PWY-7222",19543.8061103536,6659.95142992106,10768.5368985057,17640.2295429299,28502.6025887787,24138.6557370298,12022.2719480707,37634.1134806131,31850.2806578351,9667.91702421783,15326.7235820382,23046.19772043,20281.6546867029,4251.75826076223,21234.5333898539,19751.9356421143,43567.2898211307,34927.8035527536,22883.8312310642,19232.010315843,21146.6051810474,43567.2898211307,20714.1299338752,23,115,"guanosine deoxyribonucleotides de novo biosynthesis II","guanosine deoxyribonucleotides de novo biosynthesis ii","Biosynthesis"
