function	insect_51_WholeSpecimen	insect_52_WholeSpecimen	insect_53_WholeSpecimen	insect_54_WholeSpecimen	insect_55_WholeSpecimen	insect_56_WholeSpecimen	insect_57_WholeSpecimen	insect_58_WholeSpecimen	insect_59_WholeSpecimen	insect_60_WholeSpecimen	insect_61_WholeSpecimen	insect_62_WholeSpecimen	insect_63_WholeSpecimen	insect_64_WholeSpecimen	insect_65_WholeSpecimen	insect_66_WholeSpecimen	insect_67_WholeSpecimen	insect_68_WholeSpecimen	insect_69_WholeSpecimen	insect_70_WholeSpecimen
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	27991.41	9565.4	14793.65	23428.37	35693.82	28270.9	10583.5	33390.4	49968.49	13913.96	17915.47	28869.33	20982.980000000003	6306.15	27261.82	18718.32	36944.18	35068.31	30596.72	19039.7
1.1.1.127-RXN	517.3299999999999	33.21	257.8	74.4	4816.5	249.5	198.0	51.0	82.2	6.82	113.69	731.54	1675.47	278.57	596.92	432.32	1934.45	323.36	1635.88	0.0
1.1.1.136-RXN	569.8	334.4	527.8299999999999	1036.37	624.66	1041.0	0.0	159.0	831.8100000000001	150.42	291.13	660.44	203.36	77.16	413.36000000000007	299.37	868.63	442.14	72.1	0.6
1.1.1.145-RXN	0.0	0.0	93.5	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	6.0	0.0	0.0	0.0	0.0	0.0
1.1.1.215-RXN	152.67000000000002	275.88	4858.99	97.4	180.0	1668.7	234.0	1204.0	539.14	563.0	2233.86	2218.66	210.86	249.21	897.41	5357.389999999999	12999.82	1235.31	6240.93	34.0
1.1.1.251-RXN	0.0	0.0	0.78	0.0	105.0	0.0	0.0	0.0	0.0	0.0	11.43	50.42	31.57	3.71	12.43	0.0	5.0	0.0	1.0	0.0
1.1.1.253-RXN	23.0	0.0	147.24	17.4	129.0	17.0	174.75	0.0	522.5	372.0	237.86	833.28	157.14	133.0	631.43	0.5	12716.2	251.0	3375.8	261.25
1.1.1.261-RXN	374.2	48.0	3713.64	932.0	338.0	669.5	228.0	29487.0	667.14	150.64	224.43	1846.83	112.57	153.43	75.43	639.0	81.0	332.0	26.0	49.0
1.1.1.264-RXN	22.0	29.0	119.49	14.0	7.0	15968.2	61.0	950.0	90.0	94.0	88.4	1381.75	1328.7600000000002	7.71	152.89	32.07	406.07	52.64	4786.0	0.0
1.1.1.271-RXN	11.0	33.33	268.64	87.67	4219.5	62.0	1027.75	165.0	16874.5	177.0	70.19	1356.39	1109.54	103.71	521.73	18.5	88.6	58.8	71.1	428.25
1.1.1.289-RXN	0.0	0.0	0.0	0.0	0.0	1267.2	0.0	912.0	0.0	0.0	0.0	0.0	0.0	0.0	8.6	0.0	0.0	0.0	0.0	0.0
1.1.1.291-RXN	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	28.0	4.4	0.0	0.0	15.8	10.0	15.6	134.8	26.6	0.0
