"Taxon","Community","Degree","Betweenness"
"Taxon_1",1,31,0.0039032006245121
"Flavobacterium",2,46,0.00600492403771092
"Flavobacterium.1",2,40,0.00660541644148202
"Flavobacterium.2",1,12,0.00282231429772413
"Flavobacterium.3",3,4,0.000300246201885546
"Parabacteroides_B_862066",4,29,0
"Bacteroides_H_857956",4,38,0
"Bacteroides_E_857960",5,6,0.000540443163393983
"Bacteroides_E_857960.1",3,10,0.00462379150903741
"Bacteroides_E_857960.2",2,36,0.010989010989011
"Bacteroides_E_857960.3",3,4,0.00120098480754218
"Dysgonomonas",2,35,0.00204167417282171
"Dysgonomonas.1",5,16,0.00930763225845193
"Allobaculum",5,10,0.00126103404791929
"Holdemanella",5,24,0.00864709061430373
"Faecalicoccus",4,44,0.000600492403771092
"Erysipelothrix",1,30,0.00570467783582538
"Erysipelothrix.1",4,66,0.00516423467243139
"Erysipelothrix.2",1,21,0.00378310214375788
"Erysipelothrix.3",1,9,0.00228187113433015
"Erysipelothrix.4",1,43,0.0151324085750315
"BHER01",1,5,0.000120098480754218
"Lactococcus_A_346120",2,38,0.0159730979403111
"Lactococcus_A_343473",2,63,0.00396324986488921
"Streptococcus",4,58,0.00894733681618928
"Streptococcus.1",2,42,0.0090674352969435
"Weissella",2,28,0.00930763225845193
"Weissella.1",2,62,0.00666546568185912
"Ligilactobacillus",4,45,0.00276226505734702
"Holzapfeliella",2,19,0.00234192037470726
"Lactobacillus",4,68,0.0102083708641086
"Lactobacillus.1",4,57,0.000480393923016874
"Limosilactobacillus",4,20,0.00606497327808803
"Limosilactobacillus.1",4,47,0.00264216657659281
"Limosilactobacillus.2",4,59,0.00888728757581217
"Limosilactobacillus.3",4,45,0.00120098480754218
"Limosilactobacillus.4",4,50,0.000900738605656638
"Vagococcus_A",1,32,0.027502552092716
"Vagococcus_B",2,31,0.00336275746111812
"Vagococcus_B.1",2,42,0.0168738365459677
"Vagococcus_B.2",5,12,0.0058247763165796
"Vagococcus_B.3",1,40,0.00792649972977842
"Vagococcus_B.4",2,36,0.0266018134870594
"Vagococcus_B.5",5,33,0.0223983666606617
"Savagea",2,27,0.00216177265357593
"Savagea.1",4,9,0.0013210832882964
